20250501	13:54:07	c0f7e9ed-e766-4f3e-a395-0a3eb9201145	GET	undefined	/register
20250501	13:54:09	071f9fa5-0ee2-4734-9fad-5b416a40cede	GET	undefined	/register
20250501	13:54:40	d543edaf-ce59-48de-8daf-c95297a75e6e	GET	undefined	/auth
20250501	13:54:41	53748523-15be-4d20-9e72-545bd0717f2e	GET	undefined	/auth
20250501	13:56:08	89fa6c02-818c-4433-ac46-b0471be55f65	POST	undefined	/auth
20250501	13:56:57	30d87613-f8b1-4e44-8b47-f338bdfd42ac	POST	undefined	/auth
20250501	14:23:07	e10c2360-0c86-4a52-a20b-41f7ca659e1b	POST	undefined	/register
20250501	14:23:27	4974d9aa-48ee-44c3-a295-0f185ff59130	POST	undefined	/auth
20250501	14:31:22	0aaf6679-37a6-4060-af58-eb2346aae90e	POST	undefined	/register
20250501	14:31:36	959279ab-cf35-4ba4-a334-4d66221e7b62	POST	undefined	/auth
20250502	10:05:12	5451ff39-bd37-4a81-899e-637f612656e5	POST	undefined	/auth
20250502	10:05:53	36dd2e4d-bf07-41e4-b4c2-047096f64096	POST	undefined	/auth
20250502	10:06:04	e56e1ff0-17a1-4415-96af-a138c1b5f300	GET	undefined	/employees
20250502	11:34:50	4b004c00-e9d9-442b-83e8-f60721df08a1	POST	undefined	/auth
20250502	11:36:31	82d76dba-2924-4475-ada8-51102ccbd1dc	GET	undefined	/refresh
20250502	11:36:53	7bc8afb0-e19f-490e-8555-619d5e60d281	GET	undefined	/refresh
20250502	11:36:54	de9b6d2c-56d5-4aad-98f2-5ed605775655	GET	undefined	/refresh
20250502	11:36:56	92ae5dee-eb6a-454c-a59e-515c95f9d36d	GET	undefined	/refresh
20250502	11:52:17	359939c7-d664-4da0-aaf2-6ddde4c6b16c	POST	undefined	/auth
20250502	11:52:31	81d78d23-f4c7-41c3-b73e-1c098ad78d89	GET	undefined	/logout
20250502	11:52:52	bee62626-f1f2-42ae-9d0a-02def0890b5a	GET	undefined	/refresh
20250502	11:54:27	1e4f62c9-1784-47e9-b62e-90d7fcfc2db5	GET	undefined	/refresh
20250502	11:54:34	9566183f-1e99-488b-97da-a2d458a1c965	POST	undefined	/auth
20250502	11:54:39	025d8159-d501-409d-8d05-e52d60304a85	GET	undefined	/refresh
20250503	16:13:21	019e809c-41ab-4647-943c-63db2b4a7e64	GET	undefined	/auth
20250503	16:13:37	b3678128-8b0e-4bc6-9aa2-2735b8d3229c	POST	undefined	/auth
20250503	16:14:16	c0044b5e-542a-441e-90e4-c46711e7b5f8	GET	undefined	/employees
20250503	16:15:38	365c1cbf-dd62-4fa7-b9e1-b6fd66f07f6d	GET	undefined	/auth
20250503	16:15:48	54d79410-851e-42df-8d73-ab7353108ce1	POST	undefined	/register
20250503	16:16:05	380ceda1-455d-4311-b527-4309295201e8	POST	undefined	/auth
20250503	16:16:24	b02d408a-c0ea-462d-855a-70a3c887ec80	GET	undefined	/employees
20250506	21:12:40	684fc6c0-4d4d-49ae-9297-d622fbf16358	POST	undefined	/register
20250506	21:27:15	0bab5114-4cd8-4aaf-8a04-07c63b98fd64	POST	undefined	/auth
20250506	21:27:21	e0fe6ab9-db42-4b26-be71-0e893a5a0204	POST	undefined	/auth
20250506	21:27:53	66a9b2cb-a12b-4da3-9801-00dd2a84010a	POST	undefined	/register
20250506	21:28:08	0748f762-a2e8-4f08-bc83-12e6498c10ac	POST	undefined	/auth
20250506	21:28:49	4adc6e20-97d7-4aba-9936-bae3fb5c9802	GET	undefined	/refresh
20250506	21:29:14	12ca3438-2505-4afb-a809-b9fe25a8f429	GET	undefined	/refresh
20250506	21:29:59	daf80913-3d94-4596-b520-4ac898c52999	POST	undefined	/auth
20250506	21:30:11	15cb70e7-eece-4c06-86de-bd843058879c	GET	undefined	/logout
20250506	21:53:22	6f031b5d-04e4-4874-94c7-b7d123875e7e	POST	undefined	/auth
